iter	MultiClass
0	1.020673865
1	0.9575332199
2	0.9038720893
3	0.8518045303
4	0.807985534
5	0.7726574534
6	0.7370459121
7	0.7032658891
8	0.6738531905
9	0.6465823275
10	0.6197643557
11	0.5973452817
12	0.575107792
13	0.5536507979
14	0.5334985855
15	0.5161791362
16	0.4991114417
17	0.4823280526
18	0.4689644607
19	0.4529585597
20	0.4398926851
21	0.4307446051
22	0.4184056022
23	0.4052888448
24	0.3951822039
25	0.3855361181
26	0.3762004789
27	0.3662939132
28	0.3577238449
29	0.3498257111
30	0.3417310717
31	0.3355757221
32	0.3285768849
33	0.3221460653
34	0.3154592887
35	0.3101763324
36	0.3046212296
37	0.3004651093
38	0.2943913637
39	0.2899850451
40	0.2852680526
41	0.2818608049
42	0.2780525856
43	0.2738335897
44	0.2693554858
45	0.2659531537
46	0.2625366136
47	0.2589540447
48	0.255822458
49	0.2521674579
50	0.2489836283
51	0.2464618775
52	0.2434557044
53	0.2410063211
54	0.2392126581
55	0.2369367131
56	0.2350542382
57	0.2330957082
58	0.2303666587
59	0.2282348791
60	0.2263518377
61	0.223559396
62	0.2216045955
63	0.218955043
64	0.2167420512
65	0.2153267589
66	0.2130310588
67	0.2110014421
68	0.2092188424
69	0.2079060425
70	0.2066384224
71	0.2051676906
72	0.2030159199
73	0.2016870083
74	0.200107848
75	0.1989468924
76	0.196806676
77	0.195255571
78	0.194363298
79	0.1934575827
80	0.1914279558
81	0.1900713745
82	0.188656918
83	0.1875829245
84	0.1862884375
85	0.1856418005
86	0.1846426381
87	0.1833350674
88	0.1820967374
89	0.1810003229
90	0.1796533205
91	0.1783402697
92	0.1773538168
93	0.1770110614
94	0.1760157214
95	0.1751283323
96	0.174353639
97	0.1732003765
98	0.1728601526
99	0.1725433214
100	0.1710186874
101	0.1699596891
102	0.1690715146
103	0.1685413792
104	0.1680447264
105	0.1670545866
106	0.1661536265
107	0.1653705959
108	0.1644738722
109	0.1631286497
110	0.1621249046
111	0.1608663336
112	0.159923352
113	0.1590666198
114	0.1577204724
115	0.1564933833
116	0.1555946708
117	0.1547509378
118	0.1543197459
119	0.1536488238
120	0.1529213103
121	0.1513593527
122	0.1504326725
123	0.1495170527
124	0.1487638036
125	0.148131619
126	0.1475761578
127	0.1470702836
128	0.146434739
129	0.1457533575
130	0.1448215758
131	0.1443927714
132	0.1439709067
133	0.1435092812
134	0.1426955233
135	0.1422199766
136	0.141584319
137	0.1409274405
138	0.1402574923
139	0.1397049133
140	0.13888937
141	0.1383989664
142	0.1379948482
143	0.1373163859
144	0.1363644911
145	0.1360259689
146	0.135356271
147	0.1343713253
148	0.1338793498
149	0.1335500384
150	0.1331420113
151	0.1325382625
152	0.1317811342
153	0.1314433401
154	0.1306587274
155	0.1300819438
156	0.1297988791
157	0.1290951945
158	0.128805027
159	0.1280686105
160	0.1275227784
161	0.1271767485
162	0.126600102
163	0.1259460622
164	0.1256777143
165	0.1251678062
